Year,Team,Name,G,GS,GR,IP,W,L,S,HD,SO,BB,ERA,FIP,WHIP,WAR
2020,LG,켈리,28,28,0,173.1,15,7,0,0,134,40,3.32,4.07,1.15,5.17
2020,LG,정찬헌,19,19,0,110.1,7,4,0,0,85,31,3.51,4.13,1.33,2.97
2020,LG,임찬규,27,26,1,147.2,10,9,0,0,138,65,4.08,4.26,1.41,2.7
2020,LG,이민호,20,16,4,97.2,4,4,0,0,67,44,3.69,4.57,1.41,2.4
2020,LG,윌슨,25,25,0,144.2,10,8,0,0,109,39,4.42,4.19,1.38,2.26
2020,LG,정우영,65,0,65,75.0,4,4,5,20,59,29,3.12,4.08,1.03,2.2
2020,LG,최동환,54,0,54,57.0,4,1,0,4,42,12,3.47,4.17,1.16,0.87
2020,LG,진해수,76,0,76,50.0,4,2,0,22,59,23,4.32,3.31,1.54,0.84
2020,LG,최성훈,48,0,48,33.1,0,0,0,2,24,16,3.51,3.95,1.56,0.65
2020,LG,이정용,34,0,34,34.0,3,0,0,4,33,14,3.71,5.13,1.35,0.58
2020,LG,송은범,56,1,55,56.0,4,2,2,6,28,19,4.5,4.81,1.52,0.44
2020,LG,차우찬,13,13,0,64.0,5,5,0,0,51,28,5.34,4.94,1.55,0.41
2020,LG,고우석,40,0,40,41.2,0,4,17,1,51,19,4.1,2.99,1.34,0.39
2020,LG,남호,6,3,3,18.1,0,0,0,0,14,12,3.93,4.93,1.36,0.2
2020,LG,성재헌,4,0,4,4.1,0,0,0,0,1,1,4.15,4.85,1.62,0.12
2020,LG,김윤식,23,11,12,67.2,2,4,0,2,38,24,6.25,5.2,1.64,0.03
2020,LG,이찬혁,4,0,4,3.1,0,0,0,0,1,3,5.4,10.54,2.1,0.01
2020,LG,이우찬,4,1,3,4.2,0,0,0,0,4,7,11.57,10.38,3.43,-0.04
2020,LG,한선태,1,0,1,1.0,0,0,0,0,0,2,18.0,10.2,5.0,-0.05
2020,LG,정용운,3,0,3,1.2,0,0,0,0,3,1,16.2,1.36,2.4,-0.06
2020,LG,김대현,33,0,33,32.1,4,0,0,3,28,23,5.85,6.24,1.86,-0.07
