Team,Year,IP,GS,GR,FIP,FIP(중앙값),WAR,(조건 IP>=30)IP,(조건 IP>=30)GS,(조건 IP>=30)GR,(조건 IP>=30)FIP,(조건 IP>=30)FIP(중앙값),(조건 IP>=30)WAR
KIA,2020,1262.9,144.0,494.0,4.586,5.795,15.45,1073.3,143.0,300.0,4.197,4.47,17.55
KIA,2021,1261.0,144.0,530.0,4.903,5.47,12.93,1093.8,133.0,404.0,4.73,5.18,13.24
KIA,2022,1274.3,144.0,531.0,4.252,4.445,16.41,1085.0,141.0,341.0,3.951,4.0,18.65
KIA,2023,1263.4,144.0,564.0,4.25,4.365,18.4,1131.6,139.0,424.0,4.168,4.09,18.63
KIA,2024,1281.4,144.0,601.0,4.877,5.35,21.04,1140.8,136.0,478.0,4.689,4.69,22.79
KIA,2025,1268.6,144.0,576.0,4.324,5.115,13.15,1092.0,139.0,409.0,4.117,4.31,15.95
KT,2020,1284.5,144.0,521.0,4.795,5.29,24.62,1157.6,136.0,422.0,4.654,4.72,25.14
KT,2021,1258.4,144.0,470.0,3.748,3.595,29.17,1162.2,143.0,373.0,3.644,3.55,29.91
KT,2022,1280.8,144.0,444.0,3.537,3.98,29.83,1186.5,142.0,346.0,3.417,3.43,29.53
KT,2023,1281.4,144.0,450.0,3.817,4.485,26.8,1144.6,137.0,333.0,3.6,3.835,27.26
KT,2024,1279.2,144.0,512.0,4.716,5.125,17.69,1174.4,137.0,426.0,4.568,4.68,18.68
KT,2025,1269.4,144.0,481.0,4.034,4.25,20.42,1125.5,132.0,376.0,3.883,3.87,20.47
LG,2020,1285.9,144.0,509.0,4.516,4.935,19.97,1212.4,139.0,450.0,4.373,4.225,21.41
LG,2021,1265.8,144.0,553.0,3.951,4.085,26.17,1101.5,126.0,461.0,3.83,3.87,24.9
LG,2022,1281.7,144.0,604.0,3.837,4.26,28.0,1172.4,137.0,528.0,3.683,3.76,26.66
LG,2023,1284.7,144.0,593.0,3.974,4.41,22.15,1177.8,128.0,528.0,3.874,3.93,22.66
LG,2024,1268.6,144.0,563.0,4.793,5.42,19.09,1033.7,137.0,311.0,4.469,4.66,19.51
LG,2025,1274.2,144.0,538.0,3.997,4.4,25.53,1113.8,134.0,401.0,3.819,3.865,25.07
NC,2020,1291.3,144.0,592.0,4.854,5.5,24.94,1083.4,138.0,390.0,4.602,4.59,23.62
NC,2021,1249.9,144.0,552.0,4.468,5.135,17.88,1082.2,130.0,444.0,4.295,4.36,18.22
NC,2022,1279.9,144.0,537.0,3.986,4.64,19.52,1146.7,142.0,409.0,3.839,4.12,20.78
NC,2023,1274.1,144.0,544.0,4.025,4.63,22.95,1185.7,142.0,470.0,3.895,3.81,22.72
NC,2024,1267.5,144.0,548.0,4.906,5.37,14.84,1155.9,138.0,450.0,4.663,5.04,16.72
NC,2025,1264.0,144.0,611.0,4.917,5.58,11.73,1064.7,129.0,437.0,4.645,4.67,14.88
SSG,2020,1241.2,144.0,527.0,5.474,5.66,8.86,1051.5,130.0,365.0,5.315,5.59,10.33
SSG,2021,1252.4,143.0,497.0,4.818,5.32,15.27,1105.4,120.0,428.0,4.648,4.85,15.71
SSG,2022,1296.9,144.0,454.0,4.23,4.92,23.98,1167.1,141.0,320.0,4.018,4.33,25.32
SSG,2023,1285.3,144.0,497.0,4.515,4.76,16.25,1245.1,142.0,461.0,4.468,4.27,16.59
SSG,2024,1262.9,144.0,561.0,5.13,5.52,17.41,1073.2,129.0,442.0,4.902,5.18,18.75
SSG,2025,1278.0,144.0,554.0,4.074,4.37,29.85,1176.5,138.0,484.0,3.874,3.945,29.25
두산,2020,1278.9,144.0,512.0,4.23,5.0,20.47,1108.3,131.0,384.0,3.965,4.04,22.2
두산,2021,1260.7,144.0,514.0,4.264,5.24,21.2,1095.6,137.0,330.0,4.113,4.65,22.16
두산,2022,1272.1,144.0,526.0,4.456,4.5,7.55,1070.2,141.0,304.0,4.243,4.265,11.24
두산,2023,1278.6,144.0,516.0,4.072,4.57,17.89,1100.5,139.0,346.0,3.864,4.03,19.58
두산,2024,1278.3,144.0,628.0,5.027,5.525,18.97,1123.2,123.0,532.0,4.916,5.395,18.11
두산,2025,1273.7,144.0,577.0,4.44,4.535,15.3,1049.3,132.0,355.0,4.245,4.23,16.38
롯데,2020,1270.8,144.0,545.0,4.543,4.94,22.2,1165.7,142.0,433.0,4.455,4.53,22.09
롯데,2021,1257.0,144.0,580.0,4.724,5.43,14.03,1086.6,144.0,370.0,4.568,4.82,16.66
롯데,2022,1267.8,144.0,523.0,3.533,3.95,16.03,1190.4,142.0,431.0,3.456,3.69,17.67
롯데,2023,1262.6,144.0,544.0,3.948,4.35,19.3,1057.5,140.0,339.0,3.732,3.66,21.43
롯데,2024,1248.1,144.0,548.0,4.767,5.38,21.3,1092.6,138.0,347.0,4.607,4.57,22.02
롯데,2025,1202.4,144.0,523.0,4.321,4.61,14.16,1064.5,134.0,383.0,4.16,4.2,16.2
삼성,2020,1267.2,144.0,554.0,5.018,5.46,22.07,1106.9,133.0,398.0,4.813,5.06,23.13
삼성,2021,1254.1,143.0,532.0,4.342,4.92,22.98,1072.3,135.0,358.0,4.123,4.26,22.88
삼성,2022,1280.0,144.0,542.0,4.351,4.86,17.59,1151.4,138.0,415.0,4.18,4.465,17.59
삼성,2023,1271.8,144.0,547.0,4.413,5.46,13.37,1098.1,130.0,411.0,4.14,4.27,15.52
삼성,2024,1278.7,144.0,558.0,5.204,5.41,25.56,1182.1,141.0,461.0,5.064,5.09,26.54
삼성,2025,1262.6,144.0,535.0,4.393,4.36,24.23,1139.6,137.0,422.0,4.258,4.15,23.74
키움,2020,1274.5,144.0,586.0,4.542,5.125,21.2,1120.3,137.0,437.0,4.386,4.45,22.14
키움,2021,1256.1,144.0,487.0,4.465,4.735,16.49,1138.7,140.0,388.0,4.346,4.525,17.29
키움,2022,1290.5,144.0,505.0,4.028,5.01,21.35,1098.6,141.0,317.0,3.82,4.18,22.52
키움,2023,1278.4,144.0,536.0,4.137,5.09,14.27,1103.8,137.0,376.0,3.898,3.87,16.52
키움,2024,1265.2,144.0,494.0,5.249,5.71,12.85,1052.6,132.0,331.0,4.966,5.18,15.09
키움,2025,1264.1,144.0,533.0,5.031,5.79,-3.52,1067.3,132.0,353.0,4.823,5.21,3.6
한화,2020,1257.7,144.0,560.0,5.122,5.375,9.14,1088.2,134.0,417.0,4.928,4.93,10.94
한화,2021,1248.4,144.0,569.0,4.708,5.36,12.33,1028.5,126.0,367.0,4.397,4.81,15.5
한화,2022,1260.0,144.0,603.0,4.514,4.61,7.83,1091.6,126.0,505.0,4.515,4.45,7.11
한화,2023,1283.5,144.0,608.0,4.224,4.65,13.06,1188.3,142.0,511.0,4.126,4.34,13.79
한화,2024,1269.3,144.0,582.0,4.668,4.93,17.57,1165.5,138.0,500.0,4.599,4.63,18.3
한화,2025,1284.5,144.0,586.0,3.578,4.08,31.3,1216.5,140.0,537.0,3.507,3.885,30.97
