year,순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
2020,1,NC,144,87,9,3890,1294,120,0.983,10,49,42,46.2
2020,2,LG,144,80,6,3878,1460,156,0.985,9,89,36,28.8
2020,3,KT,144,102,4,3871,1486,154,0.981,10,75,21,21.9
2020,4,두산,144,85,10,3857,1282,126,0.984,6,91,25,21.6
2020,5,키움,144,112,15,3841,1544,143,0.980,8,87,39,31.0
2020,6,롯데,144,94,3,3832,1444,124,0.982,7,95,28,22.8
2020,7,삼성,144,102,9,3817,1310,126,0.980,6,57,38,40.0
2020,8,KIA,144,100,7,3810,1480,169,0.981,10,82,46,35.9
2020,9,한화,144,100,7,3795,1279,133,0.981,10,120,45,27.3
2020,10,SK,144,99,6,3778,1326,139,0.981,6,129,57,30.6
2021,1,SSG,144,102,14,3830,1409,123,0.981,12,105,46,30.5
2021,2,LG,144,91,4,3817,1481,147,0.983,12,98,40,29.0
2021,3,롯데,144,85,9,3813,1403,123,0.984,8,101,44,30.3
2021,4,두산,144,89,8,3808,1296,120,0.983,10,83,48,36.6
2021,5,KIA,144,110,9,3807,1368,139,0.979,10,92,43,31.9
2021,6,KT,144,112,7,3792,1466,133,0.979,7,93,31,25.0
2021,7,키움,144,129,14,3790,1532,152,0.976,5,85,35,29.2
2021,8,삼성,144,88,6,3777,1335,130,0.983,5,61,26,29.9
2021,9,한화,144,120,7,3776,1262,121,0.977,7,111,41,27.0
2021,10,NC,144,111,4,3770,1292,105,0.979,5,84,40,32.3
2022,1,SSG,144,109,9,3904,1455,138,0.980,4,107,31,22.5
2022,2,키움,144,118,3,3889,1549,134,0.979,7,85,42,33.1
2022,3,LG,144,89,6,3864,1394,139,0.983,7,113,26,18.7
2022,4,KT,144,97,13,3862,1425,132,0.982,8,69,26,27.4
2022,5,삼성,144,118,9,3861,1448,125,0.978,6,51,35,40.7
2022,6,NC,144,127,4,3860,1360,115,0.976,9,60,42,41.2
2022,7,롯데,144,114,3,3842,1403,124,0.979,11,99,39,28.3
2022,8,KIA,144,107,5,3839,1378,111,0.980,8,64,41,39.0
2022,9,두산,144,117,3,3838,1394,128,0.978,13,95,34,26.4
2022,10,한화,144,134,7,3805,1406,111,0.975,8,121,51,29.7
2023,1,LG,144,128,8,3880,1341,131,0.976,10,115,30,20.7
2023,2,한화,144,109,7,3875,1359,106,0.980,10,94,48,33.8
2023,3,SSG,144,119,15,3865,1503,163,0.978,11,127,56,30.6
2023,3,키움,144,114,5,3865,1424,125,0.979,9,129,45,25.9
2023,5,KT,144,99,16,3861,1354,117,0.981,3,111,23,17.2
2023,6,두산,144,114,11,3854,1300,108,0.978,12,60,40,40.0
2023,7,NC,144,130,7,3844,1339,126,0.976,7,96,42,30.4
2023,8,삼성,144,103,9,3835,1403,111,0.981,6,86,32,27.1
2023,9,롯데,144,103,3,3817,1365,111,0.981,13,91,46,33.6
2023,10,KIA,144,102,10,3807,1356,137,0.981,12,98,35,26.3
2024,1,KIA,144,146,7,3864,1400,133,0.973,10,108,31,22.3
2024,2,KT,144,116,10,3853,1279,110,0.978,14,142,38,21.1
2024,3,두산,144,84,9,3851,1263,109,0.984,15,97,28,22.4
2024,4,삼성,144,81,3,3848,1252,105,0.984,8,114,50,30.5
2024,5,롯데,144,123,10,3842,1411,143,0.977,3,89,36,28.8
2024,6,LG,144,102,5,3831,1348,135,0.981,10,126,40,24.1
2024,7,NC,144,108,8,3827,1312,115,0.979,8,86,51,37.2
2024,8,한화,144,105,5,3824,1324,132,0.980,12,110,43,28.1
2024,9,키움,144,104,2,3818,1309,129,0.980,10,117,40,25.5
2024,10,SSG,144,119,5,3809,1336,123,0.977,11,119,40,25.2
2025,1,한화,144,86,4,3871,1325,100,0.984,11,96,39,28.9
2025,2,SSG,144,106,10,3850,1398,139,0.980,4,110,46,29.5
2025,3,두산,144,120,12,3840,1363,123,0.977,12,103,43,29.5
2025,3,롯데,144,111,5,3840,1380,117,0.979,13,104,23,18.1
2025,5,LG,144,92,10,3838,1438,137,0.983,7,95,23,19.5
2025,6,KT,144,103,5,3835,1458,105,0.981,6,128,32,20.0
2025,7,KIA,144,123,10,3824,1422,127,0.977,8,111,41,27.0
2025,8,NC,144,116,5,3810,1381,119,0.978,7,80,36,31.0
2025,9,키움,144,119,4,3807,1317,111,0.977,13,107,53,33.1
2025,10,삼성,144,87,8,3806,1389,122,0.984,12,107,26,19.5
