year,h_b1_순위,team,h_b1_AVG,h_b1_G,h_b1_PA,h_b1_AB,h_b1_R,h_b1_H,h_b1_2B,h_b1_3B,h_b1_HR,h_b1_TB,h_b1_RBI,h_b1_SAC,h_b1_SF,h_b2_순위,h_b2_AVG,h_b2_BB,h_b2_IBB,h_b2_HBP,h_b2_SO,h_b2_GDP,h_b2_SLG,h_b2_OBP,h_b2_OPS,h_b2_MH,h_b2_RISP,h_b2_PH-BA
2021,1,롯데,0.278,144,5726,5009,727,1393,266,10,107,2000,697,38,46,1,0.278,579,19,54,969,114,0.399,0.356,0.755,144,0.286,0.253
2021,2,두산,0.268,144,5645,4900,738,1314,235,17,110,1913,698,46,53,2,0.268,560,13,86,943,137,0.390,0.350,0.740,143,0.284,0.255
2021,3,삼성,0.267,144,5552,4836,712,1292,204,18,133,1931,669,48,68,3,0.267,545,21,55,902,98,0.399,0.344,0.743,144,0.269,0.212
2021,4,KT,0.265,144,5627,4810,719,1276,219,11,106,1835,673,69,44,4,0.265,645,27,58,1047,105,0.381,0.356,0.737,142,0.271,0.227
2021,5,SSG,0.261,144,5736,4899,755,1278,204,13,185,2063,712,55,52,5,0.261,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259
2021,6,NC,0.261,144,5532,4808,702,1254,203,17,170,2001,670,59,43,6,0.261,511,14,111,1093,94,0.416,0.343,0.759,143,0.260,0.224
2021,7,키움,0.259,144,5653,4874,722,1262,244,28,91,1835,671,35,56,7,0.259,595,17,93,1053,93,0.376,0.347,0.723,143,0.277,0.232
2021,8,LG,0.250,144,5533,4750,654,1188,210,11,110,1750,621,52,45,8,0.250,592,16,94,926,102,0.368,0.342,0.710,143,0.252,0.270
2021,9,KIA,0.248,144,5577,4831,568,1198,183,21,66,1621,546,41,37,9,0.248,595,16,73,921,119,0.336,0.337,0.673,143,0.263,0.203
2021,10,한화,0.237,144,5495,4685,599,1111,213,17,80,1598,554,54,49,10,0.237,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195
2022,1,KIA,0.272,144,5703,5000,720,1361,250,19,113,1988,677,61,36,1,0.272,542,21,63,983,111,0.398,0.349,0.747,144,0.273,0.219
2022,2,삼성,0.270,144,5647,5023,663,1358,241,19,103,1946,627,83,41,2,0.270,446,28,54,1029,119,0.387,0.334,0.721,144,0.281,0.273
2022,3,LG,0.269,144,5627,4927,715,1325,208,33,118,1953,674,49,46,3,0.269,501,18,103,924,109,0.396,0.346,0.742,144,0.274,0.236
2022,4,롯데,0.267,144,5534,4948,605,1320,227,16,106,1897,570,73,42,4,0.267,417,19,54,991,127,0.383,0.328,0.711,144,0.259,0.268
2022,5,NC,0.257,144,5585,4899,646,1260,230,15,105,1835,613,50,47,5,0.257,501,24,88,981,112,0.375,0.334,0.709,143,0.265,0.233
2022,6,두산,0.255,144,5510,4891,638,1249,210,12,101,1786,592,53,45,6,0.255,450,16,71,1007,116,0.365,0.324,0.689,144,0.266,0.246
2022,7,SSG,0.254,144,5642,4893,720,1245,242,18,138,1937,682,77,47,7,0.254,530,22,95,1075,96,0.396,0.336,0.732,143,0.272,0.228
2022,8,KT,0.254,144,5547,4864,631,1237,192,19,119,1824,588,70,44,8,0.254,519,21,49,1183,105,0.375,0.330,0.705,144,0.239,0.232
2022,9,키움,0.252,144,5655,4953,621,1250,203,33,94,1801,578,49,34,9,0.252,527,26,92,1032,89,0.364,0.333,0.697,143,0.243,0.182
2022,10,한화,0.245,144,5513,4878,564,1196,217,19,88,1715,520,45,40,10,0.245,497,13,52,1264,92,0.352,0.319,0.671,144,0.237,0.211
2023,1,LG,0.279,144,5687,4881,767,1364,227,27,93,1924,714,94,55,1,0.279,583,16,73,804,89,0.394,0.361,0.755,144,0.298,0.217
2023,2,KIA,0.276,144,5607,4954,726,1365,224,21,101,1934,673,63,44,2,0.276,500,15,46,957,115,0.390,0.345,0.735,144,0.300,0.285
2023,3,NC,0.270,144,5606,4895,679,1321,223,28,98,1894,642,63,55,3,0.270,493,10,100,1005,122,0.387,0.345,0.732,143,0.268,0.147
2023,4,KT,0.265,144,5649,4973,672,1316,235,14,89,1846,621,57,47,4,0.265,524,13,48,1074,96,0.371,0.338,0.709,143,0.276,0.244
2023,5,롯데,0.265,144,5576,4871,653,1289,231,19,69,1765,608,75,57,5,0.265,522,18,51,1000,110,0.362,0.338,0.700,144,0.288,0.263
2023,6,삼성,0.263,144,5581,4912,636,1290,208,23,88,1808,603,77,43,6,0.263,487,15,62,954,114,0.368,0.334,0.702,143,0.267,0.199
2023,7,키움,0.261,144,5729,5062,607,1323,223,30,61,1789,576,51,58,7,0.261,484,21,74,1096,87,0.353,0.331,0.684,144,0.258,0.180
2023,8,SSG,0.260,144,5630,4923,658,1279,229,16,125,1915,611,77,45,8,0.260,507,21,78,943,89,0.389,0.336,0.725,142,0.254,0.206
2023,9,두산,0.255,144,5538,4859,620,1238,210,32,100,1812,565,57,41,9,0.255,505,25,76,975,90,0.373,0.332,0.705,144,0.242,0.214
2023,10,한화,0.241,144,5628,4906,604,1184,211,12,100,1719,568,59,40,10,0.241,535,21,88,1162,103,0.350,0.324,0.674,144,0.240,0.178
2024,1,KIA,0.301,144,5812,5124,858,1542,266,28,163,2353,812,45,53,1,0.301,529,18,59,915,119,0.459,0.369,0.828,144,0.308,0.340
2024,2,롯데,0.285,144,5766,5110,802,1454,285,41,125,2196,757,37,57,2,0.285,494,12,68,1079,100,0.430,0.352,0.782,144,0.290,0.252
2024,3,LG,0.283,144,5725,4919,808,1394,238,29,115,2035,765,46,73,3,0.283,616,18,71,969,98,0.414,0.366,0.780,143,0.284,0.259
2024,4,KT,0.279,144,5808,5072,767,1413,234,16,145,2114,722,62,45,4,0.279,580,18,49,1123,112,0.417,0.355,0.772,144,0.277,0.223
2024,5,두산,0.276,144,5680,4975,789,1375,243,21,150,2110,743,55,59,5,0.276,510,17,81,1077,100,0.424,0.350,0.774,143,0.280,0.255
2024,6,NC,0.274,144,5757,5009,773,1371,226,15,172,2143,737,50,57,6,0.274,513,14,128,1200,100,0.428,0.353,0.781,144,0.270,0.208
2024,7,SSG,0.273,144,5647,5001,756,1367,239,20,152,2102,724,51,48,7,0.273,470,12,77,1095,85,0.420,0.342,0.762,144,0.286,0.161
2024,8,한화,0.270,144,5702,5005,745,1351,224,18,127,1992,698,42,40,8,0.270,530,18,85,1077,109,0.398,0.347,0.745,144,0.295,0.245
2024,9,삼성,0.269,144,5697,4975,770,1336,204,17,185,2129,734,57,47,9,0.269,531,13,87,1150,94,0.428,0.346,0.774,143,0.271,0.226
2024,10,키움,0.264,144,5671,5015,672,1326,222,24,104,1908,641,37,49,10,0.264,492,10,78,1141,96,0.380,0.337,0.717,143,0.279,0.236
2025,1,LG,0.278,144,5713,4919,788,1366,219,19,130,2013,732,63,59,1,0.278,604,16,68,975,99,0.409,0.361,0.770,144,0.282,0.286
2025,2,삼성,0.271,144,5671,4899,775,1330,241,18,161,2090,728,67,55,2,0.271,564,25,86,1087,106,0.427,0.353,0.780,141,0.291,0.212
2025,3,롯데,0.267,144,5682,4944,676,1318,242,26,75,1837,629,72,45,3,0.267,530,28,91,1030,123,0.372,0.346,0.718,144,0.275,0.218
