year,h_b1_순위,team,h_b1_ERA,h_b1_G,h_b1_W,h_b1_L,h_b1_SV,h_b1_HLD,h_b1_WPCT,h_b1_IP,h_b1_H,h_b1_HR,h_b1_BB,h_b1_HBP,h_b1_SO,h_b1_R,h_b1_ER,h_b1_WHIP,h_b2_순위,h_b2_ERA,h_b2_CG,h_b2_SHO,h_b2_QS,h_b2_BSV,h_b2_TBF,h_b2_NP,h_b2_AVG,h_b2_2B,h_b2_3B,h_b2_SAC,h_b2_SF,h_b2_IBB,h_b2_WP,h_b2_BK
2020,1,두산,4.31,144,79,61,23,45,0.564,1285 2/3,1395,109,478,61,1046,695,616,1.46,1,4.31,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4
2020,2,LG,4.37,144,79,61,29,67,0.564,1292 2/3,1344,123,493,86,1019,694,627,1.42,2,4.37,2,13,70,19,5655,21725,0.270,240,17,38,56,12,49,4
2020,3,키움,4.39,144,80,63,42,81,0.559,1280 1/3,1336,126,446,73,950,692,624,1.39,3,4.39,0,6,53,18,5556,21349,0.270,208,15,50,39,16,51,7
2020,4,KT,4.54,144,81,62,33,71,0.566,1290 1/3,1357,118,523,59,848,715,651,1.46,4,4.54,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1
2020,5,NC,4.58,144,83,55,31,88,0.601,1296 2/3,1292,153,547,79,1049,714,660,1.42,5,4.58,0,7,59,19,5690,22362,0.260,199,15,53,35,10,65,7
2020,6,롯데,4.64,144,71,72,25,59,0.497,1277 1/3,1351,143,447,58,1002,720,659,1.41,6,4.64,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4
2020,7,삼성,4.78,144,64,75,25,80,0.460,1272 1/3,1330,151,542,67,931,745,676,1.47,7,4.78,3,11,53,19,5634,22269,0.270,222,16,50,47,16,55,5
2020,8,KIA,5.13,144,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54,8,5.13,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4
2020,9,한화,5.28,144,46,95,21,54,0.326,1265,1400,158,609,79,1019,820,742,1.59,9,5.28,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5
2020,10,SK,5.57,144,51,92,20,53,0.357,1259 1/3,1343,162,670,84,953,846,780,1.60,10,5.57,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5
2021,1,LG,3.57,144,72,58,32,81,0.554,1272 1/3,1126,80,545,98,1068,561,505,1.31,1,3.57,0,18,50,14,5453,21456,0.238,197,18,45,43,18,43,5
2021,2,KT,3.67,144,76,59,33,74,0.563,1264,1176,86,489,42,1062,584,515,1.32,2,3.67,2,6,76,16,5397,20893,0.246,184,13,46,48,18,56,1
2021,3,두산,4.26,144,71,65,28,61,0.522,1269 1/3,1295,104,587,73,1045,656,601,1.48,3,4.26,2,10,55,15,5631,22163,0.267,212,21,61,61,16,52,7
2021,4,삼성,4.30,144,76,59,46,80,0.563,1259,1297,131,530,51,1038,658,601,1.45,4,4.30,2,14,66,13,5536,21926,0.266,230,24,45,36,13,58,3
