metric,champion_mean,champion_median,league_mean,league_std,gap_vs_league,z_gap_vs_league
win_pct,0.6025,0.6045,0.49998333333333334,0.07242133471721039,0.1025166666666667,1.415558924272413
WAR_pitcher,24.468333333333334,24.46,18.6395,6.292652176679295,5.828833333333332,0.9262919941666432
WAR_hitter,31.013333333333332,31.36,20.854500000000005,7.142064459944338,10.158833333333327,1.4223945177627955
WAR_total,55.48166666666666,54.55,39.494,11.833400497461977,15.987666666666662,1.3510627541166793
WAR_pitcher_share,0.44242002702202,0.41928525968242897,0.45562767552106287,0.20421352619412675,-0.013207648499042879,-0.06467567915402234
ERA_good,-3.9966666666666666,-3.83,-4.436333333333334,0.5254742831216598,0.4396666666666671,0.836704441661275
FIP_good,-4.28,-4.115,-4.443499999999999,0.4470824867963405,0.1634999999999991,0.36570432711777917
WHIP_good,-1.37,-1.355,-1.438333333333333,0.08412622790914984,0.06833333333333291,0.8122714524550881
R,790.0,777.5,700.5,76.05820139866574,89.5,1.1767304295151273
OPS,0.7749999999999999,0.7625,0.7348833333333334,0.03821216720132768,0.04011666666666647,1.0498401322098427
E_good,-112.33333333333333,-110.5,-106.66666666666667,14.402160331777388,-5.666666666666657,-0.39345949052959384
FPCT,0.979,0.9795,0.9799333333333331,0.002638602323621776,-0.0009333333333331195,-0.3537226223813884
SB_success_rate,70.41666666666667,71.35,72.365,5.508140188242609,-1.9483333333333235,-0.3537189081519993
