Year,rank,Team,win_pct,WAR_pitcher,WAR_hitter,WAR_total,ERA,FIP,WHIP,R,OPS,E,FPCT,SB_success_rate,WAR_pitcher_share,WAR_hitter_share,ERA_good,FIP_good,WHIP_good,E_good
2020,1,NC,0.601,24.94,34.65,59.59,4.58,4.85,1.42,888,0.828,87,0.983,72.7,0.41852659842255413,0.5814734015774459,-4.58,-4.85,-1.42,-87
2020,2,두산,0.564,20.47,30.38,50.85,4.31,4.23,1.46,816,0.792,85,0.984,70.4,0.40255653883972464,0.5974434611602752,-4.31,-4.23,-1.46,-85
2020,3,KT,0.566,24.62,31.24,55.86,4.54,4.8,1.46,813,0.794,102,0.981,67.9,0.44074471894020767,0.5592552810597923,-4.54,-4.8,-1.46,-102
2020,4,LG,0.564,19.97,27.56,47.53,4.37,4.52,1.42,802,0.777,80,0.985,68.0,0.42015569114243634,0.5798443088575636,-4.37,-4.52,-1.42,-80
2020,5,키움,0.559,21.2,25.89,47.09,4.39,4.54,1.39,759,0.763,112,0.98,80.7,0.450201741346358,0.549798258653642,-4.39,-4.54,-1.39,-112
2020,6,KIA,0.507,15.45,16.3,31.75,5.13,4.59,1.54,724,0.755,100,0.981,65.3,0.48661417322834644,0.5133858267716536,-5.13,-4.59,-1.54,-100
2020,7,롯데,0.497,22.2,19.5,41.7,4.64,4.54,1.41,750,0.761,94,0.982,74.4,0.5323741007194244,0.4676258992805755,-4.64,-4.54,-1.41,-94
2020,8,삼성,0.46,22.07,13.92,35.99,4.78,5.02,1.47,699,0.732,102,0.98,72.9,0.6132258960822451,0.3867741039177549,-4.78,-5.02,-1.47,-102
2020,9,SSG,0.357,8.86,8.85,17.71,5.57,5.47,1.6,634,0.712,99,0.981,64.3,0.5002823263692828,0.49971767363071706,-5.57,-5.47,-1.6,-99
2020,10,한화,0.326,9.14,2.02,11.16,5.28,5.12,1.59,551,0.658,100,0.981,58.6,0.8189964157706093,0.18100358422939067,-5.28,-5.12,-1.59,-100
2021,1,KT,0.563,29.17,24.11,53.28,3.67,3.75,1.32,719,0.737,112,0.979,70.9,0.547484984984985,0.452515015015015,-3.67,-3.75,-1.32,-112
2021,2,두산,0.522,21.2,25.54,46.74,4.26,4.26,1.48,738,0.74,89,0.983,68.6,0.4535729567821994,0.5464270432178006,-4.26,-4.26,-1.48,-89
2021,3,삼성,0.563,22.98,18.14,41.12,4.3,4.34,1.45,712,0.743,88,0.983,72.5,0.558852140077821,0.44114785992217903,-4.3,-4.34,-1.45,-88
2021,4,LG,0.554,26.17,22.81,48.98,3.57,3.95,1.31,654,0.71,91,0.983,73.0,0.5342997141690486,0.4657002858309514,-3.57,-3.95,-1.31,-91
2021,5,키움,0.511,16.49,23.6,40.09,4.31,4.46,1.46,722,0.723,129,0.976,78.9,0.41132451983038154,0.5886754801696183,-4.31,-4.46,-1.46,-129
2021,6,SSG,0.508,15.27,28.0,43.27,4.82,4.82,1.51,755,0.774,102,0.981,69.9,0.3529003928819043,0.6470996071180957,-4.82,-4.82,-1.51,-102
2021,7,NC,0.496,17.88,22.23,40.11,4.54,4.47,1.48,702,0.759,111,0.979,68.7,0.4457741211667913,0.5542258788332087,-4.54,-4.47,-1.48,-111
2021,8,롯데,0.478,14.03,20.63,34.66,5.37,4.72,1.57,727,0.755,85,0.984,65.9,0.4047893825735719,0.5952106174264282,-5.37,-4.72,-1.57,-85
